,,,,Please ensure that you join our Slack group so that we can communicate with transcribers: ,,,,,,https://join.slack.com/t/codethecity/shared_invite/zt-ebfpmtdt-wMnHGebBCNJTCEInaYCwNw,,,,
dcccba95-7a2e-46d5-af6b-61cb00119d4f,10-Apr-1914,936,Ferryhill,British,Allison,169,Kirkcaldy,Coal,,,,Mark Cullen,Mollie Horne,
de8f63b1-96ec-433d-be86-ff00d1337635,10-Apr-1914,937,Luddick,British,Barron,213,Hull,Goods,,,,Mark Cullen,Mollie Horne,
e76a2fbf-f0b2-4f4a-b754-d57159f8da18,10-Apr-1914,938,Prss Alberta,British,Cubbin,525,Dundee,Goods,,,,Mark Cullen,Mollie Horne,
08e59fd5-357f-43cf-aa29-bbdb68410739,10-Apr-1914,939,Caledonia,Hollands,Roose,542,Rotterdam,Goods,,,,Mark Cullen,Mollie Horne,
827d76ea-e1a2-46d8-a605-ad1413543f0e,10-Apr-1914,940,Alf,Norway,Oswaldson,699,Shields,Coal,,,,Mark Cullen,Mollie Horne,
340c6a52-dea0-4f39-bca8-0f0fc0dcb7e5,10-Apr-1914,941,Irishman,British,McLauchlin,82,Creetown,Granite,,,,Mark Cullen,Mollie Horne,
be266310-d7f4-43ea-9bc4-881b1fce950a,10-Apr-1914,942,Ferrum,British,Domson,20,Lossiemouth,Light WB,,,,Mark Cullen,Mollie Horne,
84dbcb16-f2a1-478c-b6aa-523c47e0f47a,11-Apr-1914,943,Shanes Castle,British,Johanson,58,Cromarty,Potatoes,Saturday 11th. Strong Westerly Gale otherwise sea same as yesterday.,,,Mark Cullen,Mollie Horne,
34f3317f-3c18-4c2e-8358-b5be70d970c4,11-Apr-1914,944,Marien,British,Sutherland,118,Ghent,Guano,,,,Mark Cullen,Mollie Horne,
c0cf62b5-eb4a-406b-b1e7-15bf87a97bae,11-Apr-1914,945,Linnet,British,Frost,64,Middlesboro,Salt,,,,Mark Cullen,Mollie Horne,
eb13ca07-2d9a-482b-9ffd-14bcd2d3cea8,11-Apr-1914,946,Ran,Swedish,Dalgirst,970,Heulva,Copper Ore,,,,Mark Cullen,Mollie Horne,
c8ec95b6-df48-49c7-b8ca-5676b286f7a7,11-Apr-1914,947,Hogarth,British,Ward,645,London,Goods,,,,Mark Cullen,Mollie Horne,
9437f97b-3a35-495a-a005-e058f04d6910,11-Apr-1914,948,Braeneil,British,Coutts,176,London,Light,,,,Mark Cullen,Mollie Horne,
c8ad27ec-b761-4b2f-a1ac-7fe4ac3b8c1d,11-Apr-1914,949,Alicia,British,Donner,29,Montrose,Light,,,,Mark Cullen,Mollie Horne,
1c53955a-9992-4b5c-baef-68e213b76373,11-Apr-1914,950,Utopia,British,Smith,64,Kirkcaldy,Coal,,,,Mark Cullen,Mollie Horne,
ebd04668-7ba2-42ae-9112-1ca2a28e8a3a,11-Apr-1914,951,Glen Calder,British,Smart,453,Nadervalla,Wood Pulp,,,,Mark Cullen,Mollie Horne,
9fa8503e-ac49-489d-8494-8bbc9fef00bc,11-Apr-1914,952,Firth,British,Wright,163,Granton,Coal,,,,Mark Cullen,Mollie Horne,
f923d848-d5aa-4f67-9ebd-9d1a028ff72e,11-Apr-1914,953,Earnholm,British,McDonald,191,Leith,Goods,,,,Mark Cullen,Mollie Horne,
c39d3224-265d-4b77-90a8-d14654ab500d,11-Apr-1914,954,Dunleith,British,Auld,111,Grangemouth,Coal,,,,Mark Cullen,Mollie Horne,
fbd4c16d-f93b-4c89-8c3f-e38bfa9ea59c,12-Apr-1914,955,Silver City,British,Paterson,103,Burghead,Light,Sunday 12th. Strong WSW Gale & squally. Sea rough at the offing.,,,Mark Cullen,Mollie Horne,
5ad97de9-9b80-4dc5-be0b-0d4b1c16908d,12-Apr-1914,956,St Nicholas,British,Johnston,452,Leith,Goods,,,,Mark Cullen,Mollie Horne,
0db2dea5-30bc-47f1-bf7a-324288905c35,12-Apr-1914,957,Redhall,British,Ross,363,Shields,Coal,,,,Mark Cullen,Mollie Horne,
1a64949a-df85-467c-9a4d-293c905f5fab,12-Apr-1914,958,St Sunniva,British,Johnston,423,Lerwick,Goods,,,,Mark Cullen,Mollie Horne,
d8b47b33-8c37-440a-b2c0-d52b97db3ae8,12-Apr-1914,959,Frankland,British,Herring,452,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
6a3bf3d7-da06-46f0-aa37-d28582835af0,12-Apr-1914,960,Princess Maud,British,McKenzie,503,Liverpool,Goods,,,,Mark Cullen,Mollie Horne,
919001e9-1f44-43ae-a0d9-2ef713038d19,13-Apr-1914,961,Norwood,British,Clark,348,Hull,Goods,Monday 13th. Fresh WSW Gale and squally. Sea rough outside.,,,Mark Cullen,Mollie Horne,
60cd94cd-9213-4287-bcc2-45c355a6a35d,13-Apr-1914,962,City of London,British,Taylor,575,London,Goods,,,,Mark Cullen,Mollie Horne,
987a6d88-5d40-4894-80b2-6489e6078fd1,13-Apr-1914,963,Rubislaw,British,Walker,480,Hamburg,Goods,,,,Mark Cullen,Mollie Horne,
dd679797-9f8b-4688-8c41-2f8877df65a7,14-Apr-1914,964,St Magnus,British,Leask,272,Leith,Goods,Wednesday 14th. Fresh southerly gale & squally.,,,Mark Cullen,Mollie Horne,
601b6d96-7140-4ad9-9528-eea7262cbf88,14-Apr-1914,965,St Ninian,British,Williamson,292,Leith,Goods,,,,Mark Cullen,Mollie Horne,
79938a03-505f-4687-96e7-b32a91fa48da,14-Apr-1914,966,James Crombie,British,Darrock,263,Leith,Goods,,,,Mark Cullen,Mollie Horne,
541c462f-5899-4a20-a606-a7830750cc0b,14-Apr-1914,967,Ferryhill,British,Allison,169,Granton,Coal,,,,Mark Cullen,Mollie Horne,
4d6470be-f753-48a4-9e57-04faaa55a980,14-Apr-1914,968,Princess Royal,British,Rendall,525,Liverpool,Goods,,,,Mark Cullen,Mollie Horne,
8e94e0c0-7ab4-4274-895f-0da706b642ec,14-Apr-1914,969,Express,British,Heddle,89,Kirkwall,Coal,,,,Mark Cullen,Mollie Horne,
71d54722-8d15-4a0c-9802-db39035093f1,14-Apr-1914,970,Utopia,British,Smith,64,Kirkcaldy,Goods,,,,Mark Cullen,Mollie Horne,
b59f2c94-a525-4a95-bc4c-160a09fb88bc,15-Apr-1914,971,St Margaret,British,Leask,401,Kirkwall,Coal,Wednesday 15th. Moderate Norwest wind accompanied by fine weather & smooth sea.,,,Mark Cullen,Mollie Horne,
a5c2a493-fea2-4cd3-82f0-e4f20bd0842a,15-Apr-1914,972,Firth,British,Wright,163,Boness,Coal,,,,Mark Cullen,Mollie Horne,
01b17b58-f6d1-4b8f-96c8-9541b08da4aa,15-Apr-1914,973,Earnholm,British,Macdonald,191,Leith,Goods,,,,Mark Cullen,Mollie Horne,
3c972d17-e423-49c2-a30c-a8f0e87c9302,15-Apr-1914,974,Ferryhill,British,Allison,163,Bay,Adjusting,,,,Mark Cullen,Mollie Horne,
96c9139a-0aee-4327-aaa3-e809eccdda1d,15-Apr-1914,975,Leelite,British,Pirrie,114,Lossiemouth,Sleepers,,,,Mark Cullen,Mollie Horne,
949bed93-b390-43d2-b8f0-f4929f52008b,15-Apr-1914,976,Goldenwest ,British,R Lewis & Sons,33,Bay,Adjusting,,,BF63,Mark Cullen,Mollie Horne,
3a2975b4-25c6-4b04-bd2b-0f6e333d46a5,15-Apr-1914,977,Spray,British,Lawerance,580,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
b5cf97ca-8239-4848-9de0-e37f6ab7d3a1,16-Apr-1914,978,Utopia,British,Smith,64,Put back,Sawdust Res,Thursday 16th April. Wind southerly. Very fine spring weather. Sea smooth.,,,Mark Cullen,Mollie Horne,
77a9dbc3-40d6-4445-832d-c19f862c4c0a,16-Apr-1914,979,St Sunniva,British,J Gray,363,Leith,Goods,,,,Mark Cullen,Mollie Horne,
1d3ded02-81a8-42c0-a4e3-3ec4807a7005,16-Apr-1914,1000,St Clair,British,Gifford,349,Leith,Goods,,16th April 1914 - Ship arrival sequential numbers jump from 979 to 1000. 980-999 are not used.,,Mark Cullen,Mollie Horne,
52533b6c-aba5-404f-98cf-5667775b010e,16-Apr-1914,1001,Princess Maud,British,McKenzie,503,Dundee,Goods,,,,Mark Cullen,Mollie Horne,
1810f910-bdd3-47c7-bb71-64f4f3882e9d,16-Apr-1914,1002,Aberdon,British,Ross,495,Seaham,Coal,,,,Mark Cullen,Mollie Horne,
83478c4d-7239-400a-9565-ffe057410463,16-Apr-1914,1003,Aberdonian,British,Dowman,975,London,Goods,,,,Mark Cullen,Mollie Horne,
ce82bcbd-33d8-44c8-82cd-77cd49b3bad3,16-Apr-1914,1004,Acquisition ,British,(blank),36,Frasersbro,Towing,,,PR582,Mark Cullen,Mollie Horne,
cd99b109-1c3c-4545-9dc3-d7c0f3c299f6,16-Apr-1914,1005,Violet Flower PD148,British,(blank),36,Frasersbro,To Fit Out,,,PD148,Mark Cullen,Mollie Horne,
c6af7c40-b2a7-4fbd-add9-95505cfb67f8,16-Apr-1914,1006,Firth,British,Wright,163,Granton,Coal,,,,Mark Cullen,Mollie Horne,
cc4edc74-402d-4e18-ad7d-73cf625a05dc,16-Apr-1914,1007,Redhall,British,Ross,353,Shields,Coal,,,,Mark Cullen,Mollie Horne,
66557710-8b74-4aed-be40-45d9285a7222,16-Apr-1914,1008,Vanadis,British,Johnsen,528,Windaw,Timber,,,,Mark Cullen,Mollie Horne,
36b68cb2-d7cb-477b-83db-f3671d51f262,16-Apr-1914,1009,Glen Tanar,British,Stephen,449,Yarmouth,Light,,,,Mark Cullen,Mollie Horne,
fb938b1d-dc6e-4bb9-bee3-3e1d2f473126,17-Apr-1914,1010,St Nicholas,British,Johnston,452,Scalloway,Goods,"Friday 17th. String SW Wind. Hazy at times, Sea smooth - otherwise fine.",,,Mark Cullen,Mollie Horne,
b193db59-ec42-4e4b-86b3-5d37629414ef,17-Apr-1914,1011,St Ninian,British,Willamson,272,Wick,Goods,,,,Mark Cullen,Mollie Horne,
4eb6b801-52e1-4563-b65f-89b6221a1f59,17-Apr-1914,1012,St Margaret,British,McKenzie,401,Leith,Goods,,,,Mark Cullen,Mollie Horne,
d963bc8d-e4ba-4824-b615-54fc93d8fc63,17-Apr-1914,1013,Earnholm,British,Macdonald,191,Leith,Goods,,,,Mark Cullen,Mollie Horne,
d69135c6-e4fc-4cd4-9663-a70fd6e7d1d8,17-Apr-1914,1014,James Crombie,British,Darrock,253,Inverness,Goods,,,,Mark Cullen,Mollie Horne,
a5a4b9d1-3a12-4aab-8d32-900b835feb03,17-Apr-1914,1015,Earl of Aberdeen,British,Dove,352,Newcastle,Goods,,,,Mark Cullen,Mollie Horne,
75d27089-a3e2-4163-86f6-acc4c4194f36,17-Apr-1914,1016,Ballochbuie,British,Falconer,395,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
dd8dbc6f-8d7d-465d-ac04-84aea55dee3b,17-Apr-1914,1017,Alice Taylor,British,Ross,277,Seaham,Coal,,,,Mark Cullen,Mollie Horne,
b8c9f8fb-a554-4975-b923-ecb5c46ab983,17-Apr-1914,1018,Femern,British,Hudvigsee,353,Gothenburg,General,,,,Mark Cullen,Mollie Horne,
6c1ae5d7-7d3a-4005-ae61-bd0a3afbf179,17-Apr-1914,1019,St Magnus,British,Leask,272,Stromness,Goods,,,,Mark Cullen,Mollie Horne,
4a11410a-c920-4396-a11c-9ebfebd752f8,17-Apr-1914,1020,Faros Lt Ho Ship,British,Ewing,(blank),Granton,Lt Hse Stores,,,,Mark Cullen,Mollie Horne,
da664d0a-ac22-4688-8d53-850fe43d929e,17-Apr-1914,1021,Princess Thyra,British,Jones,311,Dundee,Goods,,,,Mark Cullen,Mollie Horne,
1b34f4d0-e1c8-4caf-979d-68151610c2b4,17-Apr-1914,1022,Wave Queen,British,Cole,128,Invergordon,Light,,,,Mark Cullen,Mollie Horne,
c0a2c46d-9992-4e4b-9636-d58d8387a06c,17-Apr-1914,1023,Emilie,British,Skea,1027,Windaw ,Timber,,,,Mark Cullen,Mollie Horne,
5e9eba88-b565-4791-ad7a-52c7ecd6b2fd,17-Apr-1914,1024,Karen,Swedish,Adamson,295,Kaulsham,Granite,,17th April 1914 - Ship arrival sequential numbers jump from 1024 to 1030. 1025-1029 are not used.,,Mark Cullen,Mollie Horne,
f856ce81-d0bd-4d11-a4dc-8b07e227c380,18-Apr-1914,1030,Luddick,British,Barron,184,Middlesboro,General,Saturday 18th. Fine weather throughout the day and smooth sea.,,,Mark Cullen,Mollie Horne,
2a0b41cd-79d9-4b13-89fa-71babeba693a,18-Apr-1914,1031,Princess Royal,British,Rendall,525,Dundee,Goods,,,,Mark Cullen,Mollie Horne,
840ac955-bea5-4e11-b39b-ac7fb51bacba,18-Apr-1914,1032,HMS Speedy,British,(blank),720,Lowestoft,Cruising,,,,Mark Cullen,Mollie Horne,
ead2a1fb-6713-4d9c-82d5-f341e3e144d1,18-Apr-1914,1033,Brenda,British,McKenzie,65,North Sea,Fishery Duty,,,,Mark Cullen,Mollie Horne,
0be0f85a-f0fc-406b-8de1-f016b87096fb,18-Apr-1914,1034,Spray,British,Lawrence,580,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
e797f9b2-193a-431e-9102-e4db8d46aa72,18-Apr-1914,1035,Thrift,British,MacKay,215,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
268bac00-e375-4f03-9fa6-ca449e19e5ec,18-Apr-1914,1036,Firth,British,Wright,163,Granton,Coal,,,,Mark Cullen,Mollie Horne,
4412f405-b861-4b50-9bda-8ec5e92e1436,18-Apr-1914,1037,Aberdon,British,Ross,459,Newcastle,Coal,,,,Mark Cullen,Mollie Horne,
4481109b-a6c4-466e-a89e-79e18ac36db2,19-Apr-1914,1038,Earnholm,British,Macdonald,191,Leith,Goods,Sunday 19th. Fresh southerly wind and fine spring weather. Sea smooth.,,,Mark Cullen,Mollie Horne,
9611817b-1bc3-4af5-9e20-c0c05f1a4c8d,19-Apr-1914,1039,St Nicholas,British,Gray,452,Leith,Goods,,,,Mark Cullen,Mollie Horne,
246d117a-db75-4020-87f9-7dc377581f29,19-Apr-1914,1040,St Sunniva,British,Gray,363,Lerwick,Goods,,,,Mark Cullen,Mollie Horne,
53eba04e-2c9c-4a7e-add4-dae7119fe96f,19-Apr-1914,1041,St Ola,British,Swanson,100,Stromness,Goods,,,,Mark Cullen,Mollie Horne,
bd6b1d1b-ab02-43f8-9fa0-268e260bb45c,19-Apr-1914,1042,Redhall,British,Ross,353,Shields,Coal,,,,Mark Cullen,Mollie Horne,
e4e0485e-96bc-46b1-ac6f-7531f0bdc842,19-Apr-1914,1043,Princess Victoria,British,Kinley,503,Liverpool,Goods,,,,Mark Cullen,Mollie Horne,
e1551433-ad07-4237-9c38-dd2d4f264647,19-Apr-1914,1044,Norwood,British,Clark,348,Hull,Goods,,,,Mark Cullen,Mollie Horne,
6b80cc24-5293-406e-8330-20b86cd848e7,19-Apr-1914,1045,Moor,British,Brown,36,Grangemouth,Coal,,,,Mark Cullen,Mollie Horne,
a3f6ec60-39be-4453-b897-4fe6f65370f7,20-Apr-1914,1046,City of London,British,Taylor,575,London,Goods,Monday 20th. Fine weather. Smooth sea.,,,Mark Cullen,Mollie Horne,
2ca627e1-46e4-42fa-aba0-db168c97a52e,20-Apr-1914,1047,Victor,British,Campbell,165,Troon,Light WB,,,,Mark Cullen,Mollie Horne,
66cadc91-e0e0-48eb-9957-3886dc6e77f8,20-Apr-1914,1048,Defiant,German,Adams,72,Icelande,Towing,,,,Mark Cullen,Mollie Horne,
f2261d04-c46a-4feb-80c5-4e78bdda7e4d,20-Apr-1914,1049,Borse,German,Leeming,72,Icelande,Disabled,,,,Mark Cullen,Mollie Horne,
dd2b09bb-505a-45d1-95d1-5cc3f77f9505,20-Apr-1914,1050,Caledonia,Holland,Roose,542,Rotterdam,General,,,,Mark Cullen,Mollie Horne,
96d7a744-4759-4f83-bebb-bf6d6047888d,20-Apr-1914,1051,Arthur,Swedish,Perosen,775,Libaw,Timber,,,,Mark Cullen,Mollie Horne,
8f70986a-fa9d-432e-b2ab-9197579b1031,20-Apr-1914,1052,Ardgour,British,McKinnon,373,Westonpoint,Salt,,,,Mark Cullen,Mollie Horne,
793fff3c-4223-40cf-aeaa-99255d35c2e3,20-Apr-1914,1053,aux. Cheshire Cat,British,Stephens,64,Spinningdale,Timber,,,,Mark Cullen,Mollie Horne,
26a02cfd-2bdb-4c60-93d5-f3018c19a847,21-Apr-1914,1054,St Ninian,British,Williamson,292,Leith,Goods,Tuesday 21st. Wind & weather same as yesterday,,,Mark Cullen,Mollie Horne,
bb0e0932-18d2-46d5-9eeb-e4cf69a0e2f6,21-Apr-1914,1055,St Margnus,British,Leask,272,Leith,Goods,,,,Mark Cullen,Mollie Horne,
0bbca497-d5aa-4408-8a54-72cd12e4770f,21-Apr-1914,1056,Princess Alberta,British,Cubbin,526,Liverpool,Goods,,,,Mark Cullen,Mollie Horne,
b39cc957-069c-4721-9afd-f732a8c466a2,21-Apr-1914,1057,Express,British,Heddle,89,Kirkwall,Goods,,,,Mark Cullen,Mollie Horne,
16bc8c02-e7f4-4ba2-a4ea-573c010eea42,21-Apr-1914,1058,Tug Saliesin,British,Gibson,8,Stornoway,Towing,,,,Mark Cullen,Mollie Horne,
98a076aa-8ccf-40a1-8ab8-06f37ee7e44c,21-Apr-1914,1059,Priestman,British,Gibson,(blank),Stornoway,Light,,,,Mark Cullen,Mollie Horne,
8ebab724-ef2c-4ada-afe4-2a7fe28faa00,21-Apr-1914,1060,St Margaret,British,McKenzie,401,Kirkwall,Goods,,,,Mark Cullen,Mollie Horne,
9a6c74f2-18b9-4d6a-b139-cf7ee4aba304,21-Apr-1914,1061,James Crombie,British,Darrock,263,Leith,Goods,,,,Mark Cullen,Mollie Horne,
28cd4926-828c-4e56-bac1-d7c9b0b424d8,21-Apr-1914,1062,Utopia,British,Smith,64,Kirkcaldy,Coal,,,,Mark Cullen,Mollie Horne,
b623d37e-24fe-48dd-8b99-388ff05d9e28,22-Apr-1914,1063,Ferryhill,British,Allison,169,Newcastle,Goods,Wednesday 22nd. Weather fine throughout the day time fell towards night. Sea Smooth.,Wednesday 22nd. At 2.30 am the Gen Trawl Hoenfells grounded at lower jetty and remained until 8.30 am. Assisted off by Wm Findlay.,,Mark Cullen,Mollie Horne,
7285d65e-e902-40ab-a680-5adeee1405b3,22-Apr-1914,1064,Firth,British,Wright,163,Granton,Coal,,,,Mark Cullen,Mollie Horne,
905cacfa-494e-47c4-9296-7212c8c36b8d,22-Apr-1914,1065,Ballochbuie,British,Falconer,395,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
5554d7ed-ae49-4db7-81ca-0c77f7527d27,22-Apr-1914,1066,Portlethen,British,Godsman,57,Shields,Lime,,,,Mark Cullen,Mollie Horne,
b8cd436f-5632-4027-a8b6-abd37406e48e,22-Apr-1914,1067,Earnholm,British,McDonald,191,Leith,Goods,,,,Mark Cullen,Mollie Horne,
c75f1eb1-66ba-4e2d-b8aa-115435d6f6c4,22-Apr-1914,1068,Sail G L Munro,British,Wood,25,Portsoy,Timber WB,,,,Mark Cullen,Mollie Horne,
1b385594-7189-4921-96ea-2b9a19ce8454,22-Apr-1914,1069,Spray,British,Lawrence,580,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
8f0a7563-9b1b-460c-97ed-884ad39c777f,22-Apr-1914,1070,Redhall,British,Ross,353,Shields,Coal,,,,Mark Cullen,Mollie Horne,
e42f1006-7661-48e6-9c10-95c3f7cc8b3c,23-Apr-1914,1071,Dunleith,British,Auld,111,Sunderland,Coal,Thursday 23rd. Moderate Gale blowing from WSW to WNW. Otherwise fine weather and smooth sea.,,,Mark Cullen,Mollie Horne,
12818bf1-4523-4bf3-9a4a-bacbdf38510c,23-Apr-1914,1072,Thrift,British,Mackay,205,Blyth,Coal,,,,Mark Cullen,Mollie Horne,
2724b9c1-693e-4257-a3bd-02edaab4c954,23-Apr-1914,1073,St Sunniva,British,Gray,363,Leith,Goods,,,,Mark Cullen,Mollie Horne,
d75e3bef-1259-4a71-bb3a-136fe9eda448,23-Apr-1914,1074,St Clair,British,Gifford,349,Leith,Goods,,,,Mark Cullen,Mollie Horne,
941c0ac6-8ef8-4cdc-91ab-fffb5d8f17ae,23-Apr-1914,1075,Earl of Aberdeen,British,Dobb,352,Newcastle,Goods,,,,Mark Cullen,Mollie Horne,
4fa22b4e-34e9-443c-b514-b3ca8093c189,23-Apr-1914,1076,Aberdonian,British,Dowman,767,London,Goods,,,,Mark Cullen,Mollie Horne,
5f433713-95c8-4dd6-8c1e-2acf795f0d00,23-Apr-1914,1077,Princess Victoria,British,Kinley,526,Dundee,Goods,,,,Mark Cullen,Mollie Horne,
74a8a4bb-561a-4653-aefe-00ea8593d928,23-Apr-1914,1078,Brenda,British,McKenzie,65,North Sea,Cruising,,,FBC,Mark Cullen,Mollie Horne,
8d94015e-3544-4c7a-9900-ed375e952ebb,23-Apr-1914,1079,Aberdon,British,Ross,495,Seaham,Coal,,,,Mark Cullen,Mollie Horne,
71bdedb8-e7a9-492b-9746-5d1195381922,23-Apr-1914,1080,Cossack,British,McTavish,36,Bo'ness,Coal,,,,Mark Cullen,Mollie Horne,
46baa859-3447-4094-b092-322ea062eaec,23-Apr-1914,1081,Inchcolm,British,Smith,36,Montrose,Light,,,,Mark Cullen,Mollie Horne,
dbf4aefd-1a9a-4927-8128-31b20d67ddc8,23-Apr-1914,1082,St Nicholas,British,Johnston,452,North Sea,Goods,,,,Mark Cullen,Mollie Horne,
f1b385e7-688b-4a67-99db-9df3e93710ca,24-Apr-1914,1083,St Ninian,British,Williamson,272,Wick,Goods,Friday 23rd.Moderate north wind and squall. Sea smooth.,Weather log is written as Friday 23rd but date is actually 24th.,,Mark Cullen,Mollie Horne,
c0d17238-3268-48e4-b10c-3ec17ed333b2,24-Apr-1914,1084,St Margaret,British,McKenzie,401,Leith,Goods,,,,Mark Cullen,Mollie Horne,
5f444d6b-07b7-4189-b0bf-8567f73436b9,24-Apr-1914,1085,St Magnus,British,Leask,292,Lerwick,Goods,,,,Mark Cullen,Mollie Horne,
6f8ba90a-ad7f-4a97-956e-567ce28df35b,24-Apr-1914,1086,James Crombie,British,Darrock,263,Inverness,Goods,,,,Mark Cullen,Mollie Horne,
db20ee39-bf6e-455e-8013-fd0bc52b665c,24-Apr-1914,1087,Princess Caroline,British,Jones,316,Dundee,Goods,,,,Mark Cullen,Mollie Horne,
4c3c17a3-bb5f-4850-a207-bb8934d11784,24-Apr-1914,1088,Utopia,British,Smith,64,Kirkcaldy,Coal,,,,Mark Cullen,Mollie Horne,
d6fdbb36-078a-4428-9433-0f6f37a899dd,24-Apr-1914,1089,Earnholm,British,Macdonald,191,Leith,Goods,,,,Mark Cullen,Mollie Horne,
3cb7692f-800a-45ec-85eb-ddadb620d994,24-Apr-1914,1090,Rubislaw,British,Walker,480,Hamburg,Goods,,,,Mark Cullen,Mollie Horne,
a99703c2-de27-4482-9fae-cde1daf47b8a,24-Apr-1914,1091,Firth,British,Wright,163,Shields,Coal,,,,Mark Cullen,Mollie Horne,
cb13505f-9713-4635-b746-138979284b97,24-Apr-1914,1092,Tillycorthie,British,Soang,152,Seaham,Coal,,,,Mark Cullen,Mollie Horne,
f8f48360-19e0-4dbb-b6c9-e6232b44f079,24-Apr-1914,1093,David,British,Wilson,36,Grangemouth,Coal,,,,Mark Cullen,Mollie Horne,
fd90c9fc-790e-4d4a-b2b9-98fee04678b9,24-Apr-1914,1094,Tug Granite City,British,Mutch,14,Buckie,Towing,,,,Mark Cullen,Mollie Horne,
d672044b-49ed-4ad5-b202-d1fdc385e0f5,24-Apr-1914,1095,Garland ,British,Mutch,(blank),Buckie,To Be Fitted,,,BCK177,Mark Cullen,Mollie Horne,
b3d7c1f4-2d05-4bd5-8b47-770acf187fa0,24-Apr-1914,1096,Frankland,British,Herring,452,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
34b77d4c-c0b7-4f4a-8052-aaca668ce2b9,24-Apr-1914,1097,Princess Alberta,British,Cubbin,525,Liverpool,Goods,,,,Mark Cullen,Mollie Horne,
b80d74a4-503a-4815-9271-fc698d373664,25-Apr-1914,1098,Redhall,British,Ross,353,Blyth,Coal,Saturday 25th. Fine weather throughout the day. Nor west wind & light.,,,Mark Cullen,Mollie Horne,
a0d5f3c1-1308-4953-b1c3-fddb14985067,25-Apr-1914,1099,Portlethen,British,Godsman,57,Portlethen,Lime,,,,Mark Cullen,Mollie Horne,
cea3bc65-cf9b-4197-a57d-362e4b6a946c,25-Apr-1914,1100,Spray II,British,Lawrence,580,Sunderland,Coal,,,,Mark Cullen,Mollie Horne,
aaa4f59c-7d60-46c0-9b95-79e55bc600a5,25-Apr-1914,1101,Tug Wm Findlay,British,Fowler,8,Sandhaven,Towing,,,,Mark Cullen,Mollie Horne,
68458caa-e3b4-433c-942a-12fbaa85e1c9,25-Apr-1914,1102,St Coombs Waves ,British,(blank),(blank),Sandhaven,To Be Fitted,,,FR81,Mark Cullen,Mollie Horne,
89b9677c-4e72-45a6-9216-8cf21818ee92,25-Apr-1914,1103,Thrift,British,MacKay,205,Blyth,Coal,,,,Mark Cullen,Mollie Horne,
e2ebc544-45ea-4152-b4f2-7294ad2208ce,25-Apr-1914,1104,Ballochbuie,British,Falconer,395,Seaham,Coal,,,,Mark Cullen,Mollie Horne,
83e8d9e6-692a-4401-a467-6f12c7206424,25-Apr-1914,1105,Earnholm,British,Macdonald,191,Leith,Goods,,,,Mark Cullen,Mollie Horne,
f556fc27-32e8-457a-af51-19d2969d62d7,26-Apr-1914,1106,St Nicholas,British,Johnston,452,Leith,Goods,Sunday 26th. Same weather continue. Wind sou west. Sea smooth.,,,Mark Cullen,Mollie Horne,
fde34403-2cc4-459d-822f-bb19a77dce15,26-Apr-1914,1107,St Sunniva,British,Gray,363,Lerwick,Goods,,,,Mark Cullen,Mollie Horne,
bf9980de-c40f-4ba0-8a0f-8b85af5e065b,26-Apr-1914,1108,Braeneil,British,Coutts,156,London,Cement,,,,Mark Cullen,Mollie Horne,
0c5fd5da-227d-477d-b580-4f317dfdb9bd,26-Apr-1914,1109,Leelite,British,Pirrie,114,London,Cement,,26th April. Ship arrival sequential numbers jump from 1109 to 1120. 1110-1119 are not used.,,Mark Cullen,Mollie Horne,
5b65ff3f-78ca-4b4f-aee3-67086aeafe18,26-Apr-1914,1120,Luddick,British,Barron,184,Hull,Goods,,,,Mark Cullen,Mollie Horne,
65655c40-94fc-4271-8fbe-1b63c2f1d7d5,27-Apr-1914,1121,Princess Maud,British,MacKenzie,503,Liverpool,Goods,Monday 27th. Wind and weather same as yesterday.,,,Mark Cullen,Mollie Horne,
8a61f3a5-e1d4-479d-a62b-a8783d8c99a5,27-Apr-1914,1122,City of London,British,Taylor,575,London,Goods,,,,Mark Cullen,Mollie Horne,
f5c9255b-9cc1-4dfb-874d-30545b4c0c1a,27-Apr-1914,1123,John Christie,Norwegian,Roil,974,Aguilas,Esparto,,,,Mark Cullen,Mollie Horne,
6877ac77-743e-4920-a1b3-8e3bab8c8530,27-Apr-1914,1124,Eglise ,British,Lewis,36,Bay,Trials,,,BCK180,Mark Cullen,Mollie Horne,
b89e9660-4341-4d08-a70c-d9f12a77bd23,27-Apr-1914,1125,Remnant,British,Evans,266,Bangor,Slates,,,,Mark Cullen,Mollie Horne,
ffa637cc-1778-4149-b40d-4ae2aec72d0d,27-Apr-1914,1126,St Clair,British,McGifford,349,Leith,Goods,,,,Mark Cullen,Mollie Horne,
6374f03d-6153-4da5-825e-d81f183a92ca,28-Apr-1914,1127,St Magnus,British,Leask,272,Leith,Goods,Tuesday 28th. Variable wind and fine weather. Sea smooth.,,,Mark Cullen,Mollie Horne,
